Year,Planet
1881,Mercury
1882,Mercury
1883,Mercury
1884,Mercury
1885,Mercury
1886,Mercury
1887,Mercury
1888,Mercury
1889,Mercury
1890,Mercury
1891,Mercury
1892,Mercury
1893,Mercury
1894,Mercury
1895,Mercury
1896,Mercury
1897,Mercury
1898,Mercury
1899,Mercury
1900,Mercury
1901,Mercury
1902,Mercury
1903,Mercury
1904,Mercury
1905,Mercury
1906,Mercury
1907,Mercury
1908,Mercury
1909,Mars
1910,Mars
1911,Mars
1912,Mars
1913,Mars
1914,Mars
1915,Mars
1916,Mars
1917,Mars
1918,Mars
1919,Mars
1920,Mars
1921,Mars
1922,Mars
1923,Mars
1924,Mars
1925,Mars
1926,Mars
1927,Mars
1928,Mars
1929,Mars
1930,Mars
1931,Mars
1932,Mars
1933,Mars
1934,Mars
1935,Mars
1936,Mars
1937,Mars
1938,Mars
1939,Mars
1940,Mars
1941,Mars
1942,Mars
1943,Mars
1944,Mars
1945,Moon
1946,Moon
1947,Moon
1948,Moon
1949,Moon
1950,Moon
1951,Moon
1952,Moon
1953,Moon
1954,Moon
1955,Moon
1956,Moon
1957,Moon
1958,Moon
1959,Moon
1960,Moon
1961,Moon
1962,Moon
1963,Moon
1964,Moon
1965,Moon
1966,Moon
1967,Moon
1968,Moon
1969,Moon
1970,Moon
1971,Moon
1972,Moon
1973,Moon
